heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;50words;1.0;[-0.0038959, 0.99568, 0.78214, 1.0726, 0.78214, 0.65608, 0.18637, 0.50658, 0.39387, 0.60983, 1.2135];18,47087;13847;13869,66667;13418;2970,7749%;19,01691267;20,7998%
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[0.42319, 0.99568, 1.0726, 0.78214, 0.65608, 0.50658, 1.5787, 0.82483, 1.0293, 1.2135];18,308516;22;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[0.42319, 0.99568, 0.89246, 0.78214, 1.3741, 0.39387, 0.33847, 0.82483, 1.0293, 1.2135];18,110914;22;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.39387, 0.60983, 0.1629, 1.2135];17,723046;22;22;-429,6666667;-95,1292%;18,047492;14,6418%
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[0.42319, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];16,620794;232;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 1.0726, 0.78214, 0.65608, 0.50658, 0.33847, 1.0293, 1.2135];16,970016;232;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[0.42319, 1.1037, 0.99568, 0.89246, 0.78214, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];16,793526;225;229,6666667;-222;-49,1513%;16,79477867;6,6843%
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.39387, 0.60983, 0.82483, 1.0293, 1.2135];16,462476;2349;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[1.2245, 0.65994, 0.87865, 1.0726, 0.78214, 0.65608, 0.60983, 0.82483, 1.0293, 1.2135];17,064686;2342;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 1.0726, 0.78214, 1.3741, 0.39387, 0.60983, 0.82483, 1.0293, 1.2135];16,753374;2318;2336,333333;1884,666667;417,2694%;16,76017867;6,4645%
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.39387, 1.6588, 1.733, 1.8066];19,006816;17;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[1.2245, 0.99568, 0.89246, 0.78214, 1.3741, 0.82483, 1.0293, 1.2135];19,733986;16;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.18637, 0.60983, 0.82483, 1.0293, 1.2135];17,731256;16;16,33333333;-435,3333333;-96,3838%;18,82401933;19,5745%
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[0.42319, 0.99568, 0.89246, 0.78214, 0.65608, 1.4852, 1.0293, 1.2135];18,948336;163;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, -0.16808, 0.78214, 0.60983, 0.82483, 1.0293, 1.2135];18,489926;171;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[0.42319, 0.65994, 0.89246, 0.78214, 0.65608, 0.39387, 0.82483, 1.0293, 1.2135];17,365116;166;166,6666667;-285;-63,0996%;18,26779267;16,0412%
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 1.0726, 0.18637, 0.39387, 0.60983, 0.82483, 1.0293, 1.8066];17,788056;1672;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[0.42319, 1.1037, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.33847, 0.82483, 1.2135];17,321076;1681;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 0.89246, 1.2386, 0.65608, 0.60983, 1.0293, 1.2135];17,462726;1687;1680;1228,333333;271,9557%;17,52395267;11,3162%
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[0.42319, 0.65994, 0.78214, 0.65608, 0.60983, 0.1629, 1.0293];20,71937;12;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[0.42319, 0.65994, 0.89246, 0.78214, 0.82483, 1.0293, 1.8066];19,83782;12;;;;;
