heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;28;50words;1.0;[-0.60734, -0.77979, -0.60734, -0.77102, -0.77102, -0.76646, -0.80158, -0.7386, -0.73203, -0.71632, -0.72476, -0.72014, -0.70847, -0.71263, -0.70847, -0.70598, -0.70519, -0.092021, -0.85318, -0.70349, -0.12992, -0.70194, -0.851, -0.70194, -0.69913, -0.70193, -0.69488, -0.69138];30,274946;11284;13380;-86170,33333;-86,56%;29,93129467;5,96%;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;28;50words;1.0;[-0.72084, -0.68914, -0.77321, -0.64944, -0.80158, -0.78907, -0.78907, -0.75111, -0.71632, -0.83723, -0.72014, -0.81462, -0.70847, -0.84646, -0.85046, 0.0084461, -0.8547, -0.70283, -0.85325, -0.70349, -0.70269, -0.70269, -0.85318, -0.0076166, -0.69138, -0.82232, -0.82232, -0.69488];31,713273;143;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;28;50words;1.0;[-0.77321, -0.72084, -0.76646, -0.72084, -0.74477, -0.74477, -0.78907, -0.80158, -0.72014, -0.73203, -0.71632, 0.039155, -0.70847, -0.85335, -0.058749, -0.02234, -0.11122, -0.70349, -0.13208, -0.70349, -0.70244, 0.088811, -0.70244, -0.83971, -0.69913, -0.69138, -0.69138, -0.83013];33,575054;134;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;28;50words;1.0;[-0.64944, -0.76646, -0.78713, -0.64944, -0.74642, -0.75111, -0.75111, -0.77102, -0.72476, 0.065865, -0.72014, -0.82926, -0.85046, -0.84361, -0.70663, -0.092021, -0.8547, -0.8551, -0.11622, -0.70519, -0.073169, -0.70244, -0.70244, -0.83971, -0.69138, -0.69488, -0.69913, -0.83603];32,353284;142;139,6666667;-99410,66667;-99,86%;32,54720367;15,22%;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.72084, -0.60734, -0.76646, -0.74642, -0.77102, -0.7386, -0.77102, -0.71632, 0.092898, -0.82374, -0.81462, -0.70598, -0.85046, -0.058749, -0.84646, -0.85325, -0.70283, -0.11622, -0.8547, -0.70375, -0.70375, -0.851, 0.088811, -0.69913, -0.81317, -0.82232, -0.69138];32,59628;1393;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;28;50words;1.0;[-0.77979, -0.60734, -0.68914, -0.60734, -0.80158, -0.78907, -0.75907, -0.75907, -0.72014, 0.065865, -0.72476, -0.82374, -0.84361, -0.85046, -0.70847, -0.70847, -0.70283, -0.13208, -0.70283, -0.11622, -0.70244, -0.70375, -0.85318, -0.70269, -0.82232, -0.81317, -0.69488, -0.69913];31,597455;1471;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.60734, -0.78713, -0.78713, -0.74642, -0.74477, -0.77102, -0.74477, -0.72476, -0.82926, -0.82926, -0.82926, -0.70663, -0.70847, -0.71263, -0.70847, -0.70339, -0.8547, -0.70339, -0.70519, -0.851, -0.85318, -0.84543, -0.83971, -0.81317, -0.69913, -0.69138, -0.70193];29,785259;1627;1497;-98053,33333;-98,50%;31,32633133;10,90%;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;28;50words;1.0;[-0.60734, -0.64944, -0.78713, -0.60734, -0.75111, -0.75111, -0.75907, 0.16113, -0.82926, 0.039155, -0.82374, -0.71632, -0.84361, -0.058749, -0.84361, -0.84361, -0.11622, -0.11622, -0.8547, -0.12992, -0.70194, -0.0076166, -0.851, -0.83971, -0.69488, -0.69138, -0.83603, -0.70193];34,577019;7914;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;28;50words;1.0;[-0.76646, -0.78713, -0.72084, -0.68914, -0.75907, -0.78907, 0.20149, -0.74642, -0.72014, -0.71632, -0.83723, -0.82926, -0.85335, -0.84646, -0.84646, -0.71263, -0.11622, -0.11122, -0.8547, -0.8547, -0.70269, -0.70375, -0.85318, -0.70244, -0.69138, -0.70193, 0.62432, -0.69138];33,40206;15491;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;28;50words;1.0;[-0.77321, -0.77979, -0.64944, -0.60734, -0.80158, -0.74477, -0.74642, -0.7386, -0.72014, -0.71632, 0.039155, -0.81462, -0.70598, 0.0084461, -0.85046, -0.85046, -0.85325, -0.70519, -0.11622, -0.12992, -0.70244, -0.851, -0.073169, -0.70194, -0.69913, -0.70193, -0.81317, -0.81317];33,159034;12566;11990,33333;-87560;-87,96%;33,71270433;19,35%;
