heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;50words;1.0;[0.62818, -0.19444, -0.19646, 0.62818, 0.25892, 0.32162, 0.32162, 0.46526, -0.24159, 0.19687, -0.25397, 0.081412, -0.26735, -0.033603, -0.28502, -0.19027, -0.35593, -0.23723, -0.31464, 1.2006];30,615949;11653;13347,33333;-775,3333333;-5,49%;30,17467533;19,95%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;50words;1.0;[-0.19646, 0.62818, -0.19444, -0.19899, -0.1132, -0.21124, 0.45414, 0.39279, 0.25892, 0.19687, -0.30541, 0.023502, 0.023502, -0.033603, -0.26735, 1.4402, -0.31464, -0.19027, -0.3483, -0.35593];30,234133;142;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;50words;1.0;[-0.21059, -0.19899, -0.21059, 0.20317, 0.81372, 0.60596, -0.19914, -0.21124, 0.13824, -0.22919, 0.023502, -0.30541, -0.14003, -0.088193, -0.14003, -0.27842, -0.35593, -0.32869, -0.23723, -0.3483];29,958849;142;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;50words;1.0;[0.094843, 0.81372, 0.094843, 0.81372, -0.1988, 0.13824, 0.45414, -0.21988, -0.21988, 0.32162, 0.081412, -0.30541, -0.088193, -0.28502, -0.30541, -0.23723, -0.43885, -0.35593, -0.35593, -0.3483];31,130929;141;141,6666667;-13981;-99,00%;30,44130367;21,01%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;50words;1.0;[0.20317, 0.094843, -0.19899, 0.54345, -0.19444, -0.19914, -0.21988, -0.22919, -0.21124, -0.21988, -0.088193, -0.25397, -0.088193, -0.30541, 0.023502, -0.19027, -0.3483, -0.32869, -0.41137, -0.32869];30,395959;1416;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;50words;1.0;[-0.19899, 0.81372, -0.19683, -0.19683, 0.54345, -0.20288, 0.32162, -0.22919, 0.32162, 0.13824, -0.30541, -0.24159, -0.14003, -0.28502, 1.1425, 1.2006, -0.38403, -0.38403, -0.19027, -0.23723];32,739634;1414;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;50words;1.0;[-0.010807, -0.1132, 0.54345, -0.010807, -0.21059, 0.13824, 0.19687, 0.96079, -0.21124, 0.3249, -0.25397, -0.24159, -0.26735, -0.033603, 0.081412, -0.41137, -0.27842, -0.35593, 1.0519, -0.43885];31,859983;1417;1415,666667;-12707;-89,98%;31,665192;25,88%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;50words;1.0;[-0.19444, -0.1988, -0.19444, -0.21059, -0.1988, -0.20288, 0.25892, -0.21124, 0.39279, 0.60596, 0.023502, 0.081412, -0.25397, -0.24159, -0.24159, -0.27842, -0.35593, -0.35593, -0.19027, -0.3483];28,9047;14642;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;50words;1.0;[-0.19646, 0.20317, -0.19899, 0.62818, -0.19899, -0.20288, 0.39279, 0.96079, -0.21124, 0.45414, -0.30541, -0.14003, 0.081412, 0.023502, -0.30541, -0.38403, -0.23723, -0.3483, -0.27842, -0.43885];31,083644;14696;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;50words;1.0;[0.46526, -0.19646, -0.010807, 0.81372, -0.19444, -0.21988, 0.60596, 0.77833, 0.3249, 0.19687, -0.033603, -0.28502, -0.30541, -0.26735, -0.14003, -0.43885, -0.38403, -0.27842, -0.27842, -0.32869];31,519118;14738;14692;569,3333333;4,03%;30,50248733;21,26%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;50words;1.0;[-0.21059, -0.1988, -0.19646, 0.094843, 0.20317, 0.39279, 0.3249, 0.60596, 0.13824, 0.023502, -0.033603, -0.28502, -0.14003, -0.23723, -0.31464, -0.43885];30,841768;58;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, -0.19914, 0.25892, 0.19687, 0.13824, 0.081412, -0.26735, -0.14003, -0.19027, -0.23723, -0.41137, -0.3483];31,395088;58;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;50words;1.0;[-0.1132, -0.19646, -0.19444, -0.19683, 0.32162, 0.3249, -0.21124, 0.19687, -0.22919, -0.24159, 0.023502, -0.033603, 1.5114, -0.30541, -0.32869, -0.23723, -0.38403, -0.41137];31,000075;58;58;-14064,66667;-99,59%;31,078977;23,55%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;50words;1.0;[-0.21059, -0.1988, -0.010807, 0.094843, -0.19683, -0.20288, 0.60596, 0.13824, 0.023502, -0.033603, -0.28502, -0.30541, -0.19027, -0.35593, -0.38403, -0.31464, -0.3483];30,304775;614;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;50words;1.0;[-0.19899, 0.71726, -0.19646, 0.094843, -0.19914, 0.3249, 0.25892, 0.19687, 0.13824, -0.24159, 0.023502, -0.26735, -0.28502, -0.30541, -0.32869, -0.35593, -0.31464, -0.43885];29,814302;608;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;50words;1.0;[-0.21059, -0.1132, -0.19646, 0.54345, -0.19683, 0.39279, 0.45414, 0.25892, -0.22919, -0.24159, 0.023502, -0.033603, -0.088193, -0.30541, -0.19027, -0.35593, -0.38403, -0.31464];29,850402;600;607,3333333;-13515,33333;-95,70%;29,98982633;19,22%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;50words;1.0;[-0.21059, -0.1132, -0.010807, -0.19683, 0.32162, 0.25892, -0.22919, 0.081412, -0.25397, -0.033603, -0.088193, -0.14003, -0.19027, -0.35593, -0.27842, -0.31464, -0.43885];29,371845;5981;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;50words;1.0;[-0.21059, -0.1988, -0.19646, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, -0.21988, 0.13824, 0.081412, 0.023502, -0.26735, -0.14003, -0.19027, -0.23723, 1.333, -0.41137, -0.43885];28,813893;5997;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;50words;1.0;[-0.21059, -0.1132, -0.19646, -0.19444, 0.32162, 0.3249, -0.21124, 0.13824, -0.24159, -0.25397, -0.26735, -0.088193, -0.30541, -0.32869, -0.23723, -0.27842, -0.31464, -0.3483];29,188057;6074;6017,333333;-8105,333333;-57,39%;29,12459833;15,78%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;50words;1.0;[-0.21059, -0.1988, -0.19646, 0.094843, -0.19683, 0.32162, 0.3249, -0.21124, 0.77833, 0.13824, -0.033603, -0.088193, -0.30541, 1.4402, -0.27842, -0.41137];33,367583;49;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;50words;1.0;[-0.1132, -0.19444, 0.46526, -0.19914, 0.3249, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.23723, -0.43885];34,80206;45;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;50words;1.0;[-0.21059, -0.1132, -0.19444, -0.19683, -0.19914, -0.20288, 0.19687, 0.13824, -0.25397, -0.26735, -0.28502, -0.23723, -0.27842, -0.41137];33,080606;45;46,33333333;-14076,33333;-99,67%;33,750083;34,17%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;50words;1.0;[-0.21059, -0.1132, 0.54345, 0.20317, -0.19914, -0.20288, 0.13824, -0.26735, -0.088193, -0.14003, -0.32869, -0.23723, -0.27842, -0.31464, -0.43885];32,619141;455;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;50words;1.0;[-0.21059, -0.010807, 0.094843, -0.19683, -0.19914, 0.45414, 0.60596, -0.21988, -0.24159, -0.25397, -0.033603, -0.28502, -0.30541, -0.27842, -0.43885];33,184013;463;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;50words;1.0;[-0.19899, -0.19444, -0.19683, 0.39279, -0.20288, 0.25892, 0.081412, 0.023502, -0.033603, -0.14003, -0.19027, -0.23723, -0.27842, -0.41137, -0.43885];31,756547;463;460,3333333;-13662,33333;-96,74%;32,51990033;29,27%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.39279, 0.25892, 0.19687, 0.13824, -0.24159, -0.033603, -0.088193, -0.32869, -0.23723, -0.38403, -0.31464, -0.43885];31,925187;4658;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;50words;1.0;[-0.1132, -0.19646, 0.54345, -0.19683, 0.32162, 0.45414, 0.60596, 0.13824, 0.081412, 0.023502, -0.26735, -0.088193, -0.30541, -0.19027, -0.27842, -0.41137, -0.43885];31,226947;4652;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;50words;1.0;[-0.21059, -0.1132, 0.094843, 0.20317, 0.32162, 0.3249, -0.21124, 0.19687, -0.24159, -0.26735, -0.088193, -0.14003, -0.32869, -0.35593, -0.31464, -0.3483];30,832308;4640;4650;-9472,666667;-67,07%;31,32814733;24,54%;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;50words;1.0;[-0.21059, -0.1132, -0.19646, 0.094843, 0.46526, 0.32162, 0.45414, 0.081412, -0.088193, -0.30541, 1.5102, -0.27842, -0.3483];37,265144;36;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, -0.19444, -0.19914, -0.21124, -0.25397, -0.26735, -0.30541, -0.32869, -0.35593, -0.41137];35,199251;36;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;50words;1.0;[-0.19646, -0.19444, 0.32162, 0.45414, 0.60596, 0.19687, 0.13824, -0.24159, 0.023502, -0.14003, -0.35593, -0.38403, -0.43885];36,419103;36;36;-14086,66667;-99,75%;36,29449933;44,28%;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;20;50words;1.0;[-0.19899, -0.1132, -0.19683, -0.19914, -0.21124, 0.19687, -0.22919, -0.24159, -0.088193, -0.23723, -0.27842, -0.3483];35,273057;372;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;20;50words;1.0;[-0.21059, -0.1988, -0.010807, 0.094843, -0.19683, -0.20288, -0.21988, -0.22919, -0.24159, -0.26735, -0.32869, -0.41137];34,73974;395;;;;;;;;;;
